Coordinates,:LABEL,nid:ID
"-1593.747092678314,6470.439166737551,-1032.615473283816",IfcCartesianPoint,348
"7273.542610672135,-1034.03277732645,-962.5973454503073",IfcCartesianPoint,349
"7138.85398904387,-2754.315248967957,-1315.974802003757",IfcCartesianPoint,350
"8127.22252642658,-2838.395105634179,-1974.779881317794",IfcCartesianPoint,351
"5742.463254779614,-920.3805954523233,-457.8846318987116",IfcCartesianPoint,352
"5611.206010325384,-2669.315163865792,-786.4003376703172",IfcCartesianPoint,353
"8740.35914571298,-3003.83841648767,-2634.335978869015",IfcCartesianPoint,354
"8118.167336838422,-2933.965336561043,-2000.304418324613",IfcCartesianPoint,355
"7918.898670216484,-4614.848989352279,-2563.9813724105",IfcCartesianPoint,356
"8577.879993128248,-4664.233275464053,-3143.562014530026",IfcCartesianPoint,357
"5786.165726769292,834.5611271994446,-315.254830733792",IfcCartesianPoint,358
"4375.142262822365,-860.7209976029582,-296.3379415003246",IfcCartesianPoint,359
"8747.742541987562,-2909.602609228567,-2610.946442416045",IfcCartesianPoint,360
"-2614.454582917792,8423.707791505187,-2322.124711384935",IfcCartesianPoint,361
"5776.225752635013,1672.190973325719,-305.0306094885118",IfcCartesianPoint,362
"-1462.102640167463,8059.621817801715,-1785.922512571223",IfcCartesianPoint,363
"8245.858881990975,-1148.301169807199,-1630.899538286164",IfcCartesianPoint,364
"9423.473458762117,-3012.479680974803,-3630.837450319863",IfcCartesianPoint,365
"9419.157770933081,-3104.739862228533,-3649.563100990185",IfcCartesianPoint,366
"-2463.755230778033,9099.100851120456,-3036.894636924144",IfcCartesianPoint,367
"1281.894332595168,6175.775904193164,-682.8665422391869",IfcCartesianPoint,368
"-1617.491612275242,6098.381035142713,-931.7816173824294",IfcCartesianPoint,369
"-1722.541221754007,3749.084307949851,-613.7034913819216",IfcCartesianPoint,370
"1365.68924005487,3817.854574302663,-312.3260323794311",IfcCartesianPoint,371
"1301.595490230709,6175.821093801711,-682.168931729705",IfcCartesianPoint,372
"-1415.825907979692,8484.906574756697,-2128.90393792568",IfcCartesianPoint,373
"4316.263298264785,3747.304995939905,-268.2182251113381",IfcCartesianPoint,374
"7318.387569428604,688.2595853629598,-808.5754791774834",IfcCartesianPoint,375
