nid:ID,:LABEL
1375,IfcPolyLoop
1378,IfcPolyLoop
1381,IfcPolyLoop
1384,IfcPolyLoop
1387,IfcPolyLoop
1390,IfcPolyLoop
1393,IfcPolyLoop
1396,IfcPolyLoop
1399,IfcPolyLoop
1402,IfcPolyLoop
1405,IfcPolyLoop
1408,IfcPolyLoop
1411,IfcPolyLoop
1414,IfcPolyLoop
1417,IfcPolyLoop
1420,IfcPolyLoop
1423,IfcPolyLoop
1426,IfcPolyLoop
1429,IfcPolyLoop
1432,IfcPolyLoop
1435,IfcPolyLoop
1438,IfcPolyLoop
1441,IfcPolyLoop
1444,IfcPolyLoop
1447,IfcPolyLoop
1450,IfcPolyLoop
1453,IfcPolyLoop
1456,IfcPolyLoop
1459,IfcPolyLoop
1462,IfcPolyLoop
1465,IfcPolyLoop
1468,IfcPolyLoop
1471,IfcPolyLoop
1474,IfcPolyLoop
1477,IfcPolyLoop
1480,IfcPolyLoop
1483,IfcPolyLoop
1486,IfcPolyLoop
1489,IfcPolyLoop
1492,IfcPolyLoop
1495,IfcPolyLoop
1498,IfcPolyLoop
1501,IfcPolyLoop
1504,IfcPolyLoop
1507,IfcPolyLoop
1510,IfcPolyLoop
1513,IfcPolyLoop
1516,IfcPolyLoop
1519,IfcPolyLoop
1522,IfcPolyLoop
1525,IfcPolyLoop
1528,IfcPolyLoop
1531,IfcPolyLoop
1534,IfcPolyLoop
1537,IfcPolyLoop
1540,IfcPolyLoop
1543,IfcPolyLoop
1546,IfcPolyLoop
1549,IfcPolyLoop
1552,IfcPolyLoop
1555,IfcPolyLoop
1558,IfcPolyLoop
1561,IfcPolyLoop
1564,IfcPolyLoop
1567,IfcPolyLoop
1570,IfcPolyLoop
1573,IfcPolyLoop
1576,IfcPolyLoop
1579,IfcPolyLoop
1582,IfcPolyLoop
1585,IfcPolyLoop
1588,IfcPolyLoop
1591,IfcPolyLoop
1594,IfcPolyLoop
1597,IfcPolyLoop
1600,IfcPolyLoop
1603,IfcPolyLoop
1606,IfcPolyLoop
1609,IfcPolyLoop
1612,IfcPolyLoop
1615,IfcPolyLoop
1618,IfcPolyLoop
1621,IfcPolyLoop
1624,IfcPolyLoop
1627,IfcPolyLoop
1630,IfcPolyLoop
1633,IfcPolyLoop
1636,IfcPolyLoop
1639,IfcPolyLoop
1642,IfcPolyLoop
1645,IfcPolyLoop
1648,IfcPolyLoop
1651,IfcPolyLoop
1654,IfcPolyLoop
1657,IfcPolyLoop
1660,IfcPolyLoop
1663,IfcPolyLoop
1666,IfcPolyLoop
1669,IfcPolyLoop
1672,IfcPolyLoop
1675,IfcPolyLoop
1678,IfcPolyLoop
1681,IfcPolyLoop
1684,IfcPolyLoop
1687,IfcPolyLoop
1690,IfcPolyLoop
1693,IfcPolyLoop
1696,IfcPolyLoop
1699,IfcPolyLoop
1702,IfcPolyLoop
1705,IfcPolyLoop
1708,IfcPolyLoop
1711,IfcPolyLoop
1714,IfcPolyLoop
1717,IfcPolyLoop
1720,IfcPolyLoop
1723,IfcPolyLoop
1726,IfcPolyLoop
1729,IfcPolyLoop
1732,IfcPolyLoop
