GlobalId,nid:ID,:LABEL
1BvakNX4v3YxmgU0pkgtNU,122,IfcOpeningElement
0p8fZwjEX4E8Cf54MeAK_K,143,IfcOpeningElement
324$HImQD6xx9ZuSH_GL$U,309,IfcOpeningElement
302MYl5JvDqQpvwZOjNZeN,2377,IfcOpeningElement
