Orientation,nid:ID,:LABEL
True,1193,IfcFaceOuterBound
True,1196,IfcFaceOuterBound
True,1199,IfcFaceOuterBound
True,1202,IfcFaceOuterBound
True,1205,IfcFaceOuterBound
True,1208,IfcFaceOuterBound
True,1211,IfcFaceOuterBound
True,1214,IfcFaceOuterBound
True,1217,IfcFaceOuterBound
True,1220,IfcFaceOuterBound
True,1223,IfcFaceOuterBound
True,1226,IfcFaceOuterBound
True,1229,IfcFaceOuterBound
True,1232,IfcFaceOuterBound
True,1235,IfcFaceOuterBound
True,1238,IfcFaceOuterBound
True,1241,IfcFaceOuterBound
True,1244,IfcFaceOuterBound
True,1247,IfcFaceOuterBound
True,1250,IfcFaceOuterBound
True,1253,IfcFaceOuterBound
True,1256,IfcFaceOuterBound
True,1259,IfcFaceOuterBound
True,1262,IfcFaceOuterBound
True,1265,IfcFaceOuterBound
True,1268,IfcFaceOuterBound
True,1271,IfcFaceOuterBound
True,1274,IfcFaceOuterBound
True,1277,IfcFaceOuterBound
True,1280,IfcFaceOuterBound
True,1283,IfcFaceOuterBound
True,1286,IfcFaceOuterBound
True,1289,IfcFaceOuterBound
True,1292,IfcFaceOuterBound
True,1295,IfcFaceOuterBound
True,1298,IfcFaceOuterBound
True,1301,IfcFaceOuterBound
True,1304,IfcFaceOuterBound
True,1307,IfcFaceOuterBound
True,1310,IfcFaceOuterBound
True,1313,IfcFaceOuterBound
True,1316,IfcFaceOuterBound
True,1319,IfcFaceOuterBound
True,1322,IfcFaceOuterBound
True,1325,IfcFaceOuterBound
True,1328,IfcFaceOuterBound
True,1331,IfcFaceOuterBound
True,1334,IfcFaceOuterBound
True,1337,IfcFaceOuterBound
True,1340,IfcFaceOuterBound
True,1343,IfcFaceOuterBound
True,1346,IfcFaceOuterBound
True,1349,IfcFaceOuterBound
True,1352,IfcFaceOuterBound
True,1355,IfcFaceOuterBound
True,1358,IfcFaceOuterBound
True,1361,IfcFaceOuterBound
True,1364,IfcFaceOuterBound
True,1367,IfcFaceOuterBound
True,1370,IfcFaceOuterBound
True,1373,IfcFaceOuterBound
True,1376,IfcFaceOuterBound
True,1379,IfcFaceOuterBound
True,1382,IfcFaceOuterBound
True,1385,IfcFaceOuterBound
True,1388,IfcFaceOuterBound
True,1391,IfcFaceOuterBound
True,1394,IfcFaceOuterBound
True,1397,IfcFaceOuterBound
True,1400,IfcFaceOuterBound
True,1403,IfcFaceOuterBound
True,1406,IfcFaceOuterBound
True,1409,IfcFaceOuterBound
True,1412,IfcFaceOuterBound
True,1415,IfcFaceOuterBound
True,1418,IfcFaceOuterBound
True,1421,IfcFaceOuterBound
True,1424,IfcFaceOuterBound
True,1427,IfcFaceOuterBound
True,1430,IfcFaceOuterBound
True,1433,IfcFaceOuterBound
True,1436,IfcFaceOuterBound
True,1439,IfcFaceOuterBound
True,1442,IfcFaceOuterBound
True,1445,IfcFaceOuterBound
True,1448,IfcFaceOuterBound
True,1451,IfcFaceOuterBound
True,1454,IfcFaceOuterBound
True,1457,IfcFaceOuterBound
True,1460,IfcFaceOuterBound
True,1463,IfcFaceOuterBound
True,1466,IfcFaceOuterBound
True,1469,IfcFaceOuterBound
True,1472,IfcFaceOuterBound
True,1475,IfcFaceOuterBound
True,1478,IfcFaceOuterBound
True,1481,IfcFaceOuterBound
True,1484,IfcFaceOuterBound
True,1487,IfcFaceOuterBound
True,1490,IfcFaceOuterBound
True,1493,IfcFaceOuterBound
True,1496,IfcFaceOuterBound
True,1499,IfcFaceOuterBound
True,1502,IfcFaceOuterBound
True,1505,IfcFaceOuterBound
True,1508,IfcFaceOuterBound
True,1511,IfcFaceOuterBound
True,1514,IfcFaceOuterBound
True,1517,IfcFaceOuterBound
True,1520,IfcFaceOuterBound
True,1523,IfcFaceOuterBound
True,1526,IfcFaceOuterBound
True,1529,IfcFaceOuterBound
True,1532,IfcFaceOuterBound
True,1535,IfcFaceOuterBound
True,1538,IfcFaceOuterBound
True,1541,IfcFaceOuterBound
True,1544,IfcFaceOuterBound
