P,r,e,d,e,f,i,n,e,d,T,y,p,e
South roof,190,IfcSlab,2FXcmLnmzDkvJMAGEXAVs0,ROOF
North roof,191,IfcSlab,18N1a2Stv7sxqrrx7MV9nk,ROOF
