nid:ID,:LABEL,ReflectanceMethod
72,IfcSurfaceStyleRendering,FLAT
99,IfcSurfaceStyleRendering,FLAT
194,IfcSurfaceStyleRendering,FLAT
2325,IfcSurfaceStyleRendering,FLAT
2437,IfcSurfaceStyleRendering,FLAT
2472,IfcSurfaceStyleRendering,FLAT
2579,IfcSurfaceStyleRendering,FLAT,0.9
2651,IfcSurfaceStyleRendering,FLAT,0.9
2723,IfcSurfaceStyleRendering,FLAT,0.9
2795,IfcSurfaceStyleRendering,FLAT,0.9
2867,IfcSurfaceStyleRendering,FLAT,0.9
