DirectionRatios,nid:ID,:LABEL
"1.0,0.0,0.0",2668,IfcDirection
"0.0,0.0,1.0",2669,IfcDirection
"1.0,0.0,0.0",2673,IfcDirection
"0.0,0.0,1.0",2674,IfcDirection
"0.0,0.0,1.0",2708,IfcDirection
"1.0,0.0,0.0",2709,IfcDirection
"0.0,0.0,1.0",2710,IfcDirection
"1.0,0.0,0.0",2716,IfcDirection
"0.0,0.0,1.0",2717,IfcDirection
"1.0,0.0,0.0",2730,IfcDirection
"0.0,0.0,1.0",2731,IfcDirection
"1.0,0.0,0.0",2735,IfcDirection
"0.0,0.0,1.0",2736,IfcDirection
"1.0,0.0,0.0",2740,IfcDirection
"0.0,0.0,1.0",2741,IfcDirection
"1.0,0.0,0.0",2745,IfcDirection
"0.0,0.0,1.0",2746,IfcDirection
"0.0,0.0,1.0",2780,IfcDirection
"1.0,0.0,0.0",2781,IfcDirection
"0.0,0.0,1.0",2782,IfcDirection
"1.0,0.0,0.0",2788,IfcDirection
"0.0,0.0,1.0",2789,IfcDirection
"1.0,0.0,0.0",2802,IfcDirection
"0.0,0.0,1.0",2803,IfcDirection
"1.0,0.0,0.0",2807,IfcDirection
"0.0,0.0,1.0",2808,IfcDirection
"1.0,0.0,0.0",2812,IfcDirection
"0.0,0.0,1.0",2813,IfcDirection
"1.0,0.0,0.0",2817,IfcDirection
"0.0,0.0,1.0",2818,IfcDirection
"0.0,0.0,1.0",2852,IfcDirection
"1.0,0.0,0.0",2853,IfcDirection
"0.0,0.0,1.0",2854,IfcDirection
"1.0,0.0,0.0",2860,IfcDirection
"0.0,0.0,1.0",2861,IfcDirection
